,score_id,modular,original,delta
0,people,25.99,56.73,-3074
1,opportunity_employment,19.72,54.43,-3471
2,opportunity_k12_education,30.25,55.97,-2572
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,23.99,65.5,-4151
5,opportunity,24.76,57.49,-3273
6,core_services_doctors,4.3,34.66,-3035
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,28.59,53.79,-2520
9,core_services_pharmacies,13.92,52.07,-3815
10,core_services_grocery,25.63,61.53,-3590
11,core_services_social_services,0.0,0.0,0
12,core_services,19.17,51.04,-3187
13,retail,13.27,41.29,-2802
14,recreation_parks,49.53,70.43,-2090
15,recreation_trails,19.64,60.24,-4060
16,recreation_community_centers,20.78,57.25,-3647
17,recreation,31.88,63.57,-3169
18,transit,13.35,51.48,-3813
19,overall_score,21.46,53.67,-3221
