,score_id,modular,original,delta
0,people,11.27,11.27,0
1,opportunity_employment,8.22,8.21,1
2,opportunity_k12_education,5.95,5.95,0
3,opportunity_technical_vocational_college,9.48,9.48,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,7.38,7.38,0
6,core_services_doctors,5.1,5.11,-2
7,core_services_dentists,0.1,0.1,0
8,core_services_hospitals,4.88,4.88,0
9,core_services_pharmacies,0.46,0.46,0
10,core_services_grocery,1.57,1.57,0
11,core_services_social_services,5.7,5.71,-1
12,core_services,3.3,3.3,0
13,retail,2.54,2.54,0
14,recreation_parks,7.82,7.82,0
15,recreation_trails,13.05,12.94,11
16,recreation_community_centers,0.0,0.0,0
17,recreation,10.26,10.21,5
18,transit,0.0,0.0,0
19,overall_score,6.76,6.75,1
