,score_id,modular,original,delta
0,people,20.13,19.8,33
1,opportunity_employment,0.0,0.0,0
2,opportunity_k12_education,41.92,41.58,34
3,opportunity_technical_vocational_college,21.69,21.8,-11
4,opportunity_higher_education,26.22,26.19,3
5,opportunity,33.98,33.8,18
6,core_services_doctors,20.1,20.04,6
7,core_services_dentists,21.22,21.15,7
8,core_services_hospitals,31.41,29.3,211
9,core_services_pharmacies,28.69,28.2,49
10,core_services_grocery,33.44,33.1,34
11,core_services_social_services,33.55,33.31,23
12,core_services,28.69,28.07,62
13,retail,20.73,20.41,32
14,recreation_parks,46.98,46.63,35
15,recreation_trails,34.05,32.63,141
16,recreation_community_centers,22.9,22.8,10
17,recreation,36.43,35.77,66
18,transit,29.94,28.74,120
19,overall_score,28.62,28.08,54
