,score_id,modular,original,delta
0,people,6.61,5.9,71
1,opportunity_employment,0.0,0.0,0
2,opportunity_k12_education,10.11,9.04,108
3,opportunity_technical_vocational_college,8.86,8.32,54
4,opportunity_higher_education,3.65,3.9,-25
5,opportunity,7.93,7.35,58
6,core_services_doctors,5.36,4.8,56
7,core_services_dentists,2.79,2.12,67
8,core_services_hospitals,10.98,9.78,121
9,core_services_pharmacies,4.95,3.95,100
10,core_services_grocery,7.25,7.35,-10
11,core_services_social_services,11.01,11.02,-1
12,core_services,7.51,7.01,50
13,retail,7.11,6.76,35
14,recreation_parks,24.76,22.81,195
15,recreation_trails,23.78,16.2,758
16,recreation_community_centers,2.27,1.53,74
17,recreation,18.79,15.18,361
18,transit,6.75,5.63,112
19,overall_score,8.98,7.89,109
