,score_id,modular,original,delta
0,people,92.35,92.36,-1
1,opportunity_employment,92.04,92.05,-1
2,opportunity_k12_education,94.73,94.73,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,93.39,93.39,0
6,core_services_doctors,93.13,93.13,0
7,core_services_dentists,93.24,93.24,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,92.99,92.99,0
10,core_services_grocery,97.18,97.18,0
11,core_services_social_services,94.2,94.2,0
12,core_services,94.59,94.59,0
13,retail,89.64,89.64,0
14,recreation_parks,94.39,94.41,-2
15,recreation_trails,12.12,12.13,-1
16,recreation_community_centers,94.56,94.56,0
17,recreation,65.64,65.65,-1
18,transit,0.0,0.0,0
19,overall_score,87.93,87.93,0
