,score_id,modular,original,delta
0,people,19.19,19.17,2
1,opportunity_employment,8.27,8.26,1
2,opportunity_k12_education,8.33,8.31,2
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,8.3,8.29,2
6,core_services_doctors,0.0,0.0,0
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,5.18,5.18,0
9,core_services_pharmacies,0.0,0.0,0
10,core_services_grocery,1.69,1.69,0
11,core_services_social_services,0.0,0.0,0
12,core_services,3.24,3.24,0
13,retail,0.0,0.0,0
14,recreation_parks,7.13,7.13,0
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,0.0,0.0,0
17,recreation,7.13,7.13,0
18,transit,0.0,0.0,0
19,overall_score,8.94,8.93,1
