,score_id,modular,original,delta
0,people,25.91,56.73,-3082
1,opportunity_employment,19.67,54.43,-3476
2,opportunity_k12_education,30.24,55.97,-2573
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,23.99,65.5,-4151
5,opportunity,24.74,57.49,-3275
6,core_services_doctors,4.35,34.66,-3031
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,28.55,53.79,-2524
9,core_services_pharmacies,13.9,52.07,-3817
10,core_services_grocery,25.63,61.53,-3590
11,core_services_social_services,0.0,0.0,0
12,core_services,19.17,51.04,-3187
13,retail,13.27,41.29,-2802
14,recreation_parks,49.48,70.43,-2095
15,recreation_trails,19.64,60.24,-4060
16,recreation_community_centers,20.68,57.25,-3657
17,recreation,31.84,63.57,-3173
18,transit,13.35,51.48,-3813
19,overall_score,21.44,53.67,-3223
