,score_id,modular,original,delta
0,people,11.67,11.67,0
1,opportunity_employment,8.32,8.32,0
2,opportunity_k12_education,6.87,6.87,0
3,opportunity_technical_vocational_college,9.48,9.48,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,7.83,7.83,0
6,core_services_doctors,5.11,5.11,0
7,core_services_dentists,0.1,0.1,0
8,core_services_hospitals,4.88,4.88,0
9,core_services_pharmacies,0.46,0.46,0
10,core_services_grocery,1.57,1.57,0
11,core_services_social_services,5.52,5.52,0
12,core_services,3.27,3.27,0
13,retail,2.54,2.54,0
14,recreation_parks,8.74,8.74,0
15,recreation_trails,12.94,12.94,0
16,recreation_community_centers,0.0,0.0,0
17,recreation,10.7,10.7,0
18,transit,0.0,0.0,0
19,overall_score,7.01,7.01,0
