,score_id,modular,original,delta
0,people,77.15,77.15,0
1,opportunity_employment,83.28,83.28,0
2,opportunity_k12_education,86.71,86.71,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,85.0,85.0,0
6,core_services_doctors,86.71,86.71,0
7,core_services_dentists,86.71,86.71,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,0.0,0.0,0
10,core_services_grocery,86.71,86.71,0
11,core_services_social_services,0.0,0.0,0
12,core_services,86.71,86.71,0
13,retail,86.71,86.71,0
14,recreation_parks,86.72,86.72,0
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,86.71,86.71,0
17,recreation,86.72,86.72,0
18,transit,0.0,0.0,0
19,overall_score,84.62,84.62,0
