,score_id,modular,original,delta
0,people,30.32,51.6,-2128
1,opportunity_employment,20.98,43.03,-2205
2,opportunity_k12_education,26.87,44.06,-1719
3,opportunity_technical_vocational_college,29.59,36.82,-723
4,opportunity_higher_education,30.42,44.98,-1456
5,opportunity,25.79,43.16,-1737
6,core_services_doctors,22.71,29.79,-708
7,core_services_dentists,4.63,20.85,-1622
8,core_services_hospitals,13.05,27.78,-1473
9,core_services_pharmacies,0.28,0.28,0
10,core_services_grocery,16.76,32.63,-1587
11,core_services_social_services,5.17,5.75,-58
12,core_services,12.61,22.65,-1004
13,retail,18.53,31.51,-1298
14,recreation_parks,40.41,61.99,-2159
15,recreation_trails,38.52,69.98,-3146
16,recreation_community_centers,16.23,26.72,-1049
17,recreation,33.7,55.97,-2227
18,transit,4.31,33.17,-2887
19,overall_score,20.71,39.0,-1829
