,score_id,modular,original,delta
0,people,9.03,24.78,-1576
1,opportunity_employment,6.76,42.86,-3610
2,opportunity_k12_education,15.97,46.77,-3080
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,11.37,44.82,-3345
6,core_services_doctors,0.0,0.0,0
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,0.0,0.0,0
10,core_services_grocery,0.0,0.0,0
11,core_services_social_services,0.0,0.0,0
13,retail,9.94,91.42,-8148
14,recreation_parks,42.07,76.82,-3474
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,4.67,55.13,-5046
17,recreation,27.69,68.48,-4079
18,transit,30.91,56.76,-2585
19,overall_score,17.39,56.48,-3909
