,score_id,modular,original,delta
0,people,20.84,20.84,0
1,opportunity_employment,20.64,20.64,0
2,opportunity_k12_education,32.58,32.58,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,26.61,26.61,0
6,core_services_doctors,20.66,20.66,0
7,core_services_dentists,36.58,36.58,0
8,core_services_hospitals,24.64,24.64,0
9,core_services_pharmacies,21.53,21.53,0
10,core_services_grocery,30.06,30.06,0
11,core_services_social_services,31.76,31.76,0
12,core_services,27.15,27.15,0
13,retail,32.97,32.97,0
14,recreation_parks,57.57,57.57,0
15,recreation_trails,38.31,38.31,0
16,recreation_community_centers,20.47,20.47,0
17,recreation,41.55,41.55,0
18,transit,18.35,18.35,0
19,overall_score,27.81,27.81,0
