,score_id,modular,original,delta
0,people,25.56,25.57,-1
1,opportunity_employment,0.0,0.0,0
2,opportunity_k12_education,45.26,45.27,-1
3,opportunity_technical_vocational_college,42.08,42.08,0
4,opportunity_higher_education,41.61,41.61,0
5,opportunity,43.65,43.65,0
6,core_services_doctors,45.36,45.42,-6
7,core_services_dentists,43.11,43.11,0
8,core_services_hospitals,43.76,43.76,0
9,core_services_pharmacies,34.35,34.36,-1
10,core_services_grocery,44.09,44.1,-1
11,core_services_social_services,44.83,44.83,0
12,core_services,43.32,43.33,-1
13,retail,31.81,31.81,0
14,recreation_parks,35.89,35.89,0
15,recreation_trails,62.74,62.74,0
16,recreation_community_centers,35.23,35.23,0
17,recreation,45.12,45.12,0
18,transit,39.58,39.58,0
19,overall_score,38.7,38.71,-1
