,score_id,modular,original,delta
0,people,18.32,18.32,0
1,opportunity_employment,13.82,13.82,0
2,opportunity_k12_education,17.13,17.13,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,15.48,15.48,0
6,core_services_doctors,0.06,0.06,0
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,2.49,2.49,0
10,core_services_grocery,12.33,12.33,0
11,core_services_social_services,1.95,1.95,0
12,core_services,5.19,5.19,0
13,retail,0.0,0.0,0
14,recreation_parks,1.69,1.69,0
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,0.67,0.67,0
17,recreation,1.3,1.3,0
18,transit,0.0,0.0,0
19,overall_score,10.11,10.11,0
