,score_id,modular,original,delta
0,people,19.83,19.83,0
1,opportunity_employment,0.0,0.0,0
2,opportunity_k12_education,15.05,15.05,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,15.05,15.05,0
6,core_services_doctors,7.47,7.47,0
7,core_services_dentists,12.94,12.94,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,13.52,13.52,0
10,core_services_grocery,20.44,20.44,0
11,core_services_social_services,0.0,0.0,0
12,core_services,14.23,14.23,0
13,retail,0.0,0.0,0
14,recreation_parks,28.18,28.18,0
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,4.4,4.4,0
17,recreation,19.03,19.03,0
18,transit,0.0,0.0,0
19,overall_score,16.69,16.69,0
