,score_id,modular,original,delta
0,people,51.6,51.6,0
1,opportunity_employment,43.03,43.03,0
2,opportunity_k12_education,44.06,44.06,0
3,opportunity_technical_vocational_college,36.82,36.82,0
4,opportunity_higher_education,44.98,44.98,0
5,opportunity,43.16,43.16,0
6,core_services_doctors,29.79,29.79,0
7,core_services_dentists,20.85,20.85,0
8,core_services_hospitals,27.78,27.78,0
9,core_services_pharmacies,0.28,0.28,0
10,core_services_grocery,32.63,32.63,0
11,core_services_social_services,5.75,5.75,0
12,core_services,22.65,22.65,0
13,retail,31.51,31.51,0
14,recreation_parks,61.99,61.99,0
15,recreation_trails,69.98,69.98,0
16,recreation_community_centers,26.72,26.72,0
17,recreation,55.97,55.97,0
18,transit,33.17,33.17,0
19,overall_score,39.0,39.0,0
