,score_id,modular,original,delta
0,people,87.94,87.94,0
1,opportunity_employment,85.11,85.11,0
2,opportunity_k12_education,72.14,72.14,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,78.63,78.63,0
6,core_services_doctors,78.48,78.48,0
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,78.53,78.53,0
9,core_services_pharmacies,0.0,0.0,0
10,core_services_grocery,62.92,62.92,0
11,core_services_social_services,89.0,89.0,0
12,core_services,75.6,75.6,0
13,retail,73.83,73.83,0
14,recreation_parks,87.63,87.63,0
15,recreation_trails,99.49,99.49,0
16,recreation_community_centers,0.0,0.0,0
17,recreation,93.16,93.16,0
18,transit,0.0,0.0,0
19,overall_score,81.28,81.28,0
