,score_id,modular,original,delta
0,people,79.94,79.94,0
1,opportunity_employment,67.62,67.62,0
2,opportunity_k12_education,76.68,76.68,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,72.15,72.15,0
6,core_services_doctors,36.64,36.64,0
7,core_services_dentists,58.6,58.6,0
8,core_services_hospitals,55.9,55.9,0
9,core_services_pharmacies,0.0,0.0,0
10,core_services_grocery,82.16,82.16,0
11,core_services_social_services,0.0,0.0,0
12,core_services,59.88,59.88,0
13,retail,26.87,26.87,0
14,recreation_parks,80.18,80.18,0
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,0.0,0.0,0
17,recreation,80.18,80.18,0
18,transit,90.0,90.0,0
19,overall_score,67.95,67.95,0
