,score_id,modular,original,delta
0,people,92.36,92.36,0
1,opportunity_employment,92.05,92.05,0
2,opportunity_k12_education,94.73,94.73,0
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,93.39,93.39,0
6,core_services_doctors,93.13,93.13,0
7,core_services_dentists,93.45,93.45,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,92.99,92.99,0
10,core_services_grocery,97.18,97.18,0
11,core_services_social_services,94.24,94.24,0
12,core_services,94.63,94.63,0
13,retail,89.64,89.64,0
14,recreation_parks,94.41,94.41,0
15,recreation_trails,12.13,12.13,0
16,recreation_community_centers,94.56,94.56,0
17,recreation,65.65,65.65,0
18,transit,0.0,0.0,0
19,overall_score,87.94,87.94,0
