,score_id,modular,original,delta
0,people,25.58,25.58,0
1,opportunity_employment,0.0,0.0,0
2,opportunity_k12_education,45.15,45.15,0
3,opportunity_technical_vocational_college,41.34,41.34,0
4,opportunity_higher_education,41.61,41.61,0
5,opportunity,43.47,43.47,0
6,core_services_doctors,45.42,45.42,0
7,core_services_dentists,43.11,43.11,0
8,core_services_hospitals,43.76,43.76,0
9,core_services_pharmacies,34.57,34.57,0
10,core_services_grocery,44.36,44.36,0
11,core_services_social_services,44.83,44.83,0
12,core_services,43.42,43.42,0
13,retail,31.81,31.81,0
14,recreation_parks,35.89,35.89,0
15,recreation_trails,62.74,62.74,0
16,recreation_community_centers,35.23,35.23,0
17,recreation,45.12,45.12,0
18,transit,39.58,39.58,0
19,overall_score,38.69,38.69,0
